,place,"In this sentence: 'In Iceland, <mask> has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,0.0,0.0,1.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.303,0.0,0.0,0.0,0.0,0.0,1.583,0.0,0.0,0.0,0.0,1.901,0.0,0.0,3.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.981,0.0,0.0,1.271,1.59,0.0,0.0,1.546
1,Yemen,0.0,0.0,1.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.371,0.0,0.0,0.0,2.906,0.567,1.695,0.221,0.549,0.0,0.0,0.0,0.0,0.0,0.0,3.65,3.277,0.0,4.583,0.0,0.0,1.112,0.0,0.0,0.0,0.0,0.491,0.0,0.0,0.0,0.0,0.0,0.419,0.0,0.0,1.825,21.407,0.0,14.463,0.0,0.0,0.0,0.0,0.0
2,Iraq,0.0,0.0,1.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.621,0.0,0.0,2.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.443,0.0,0.0,1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.288,0.0,0.0,0.0,0.0,0.0,14.328,0.0,0.0,0.0,0.0,0.0
4,Syria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.845,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,2.681,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329,0.0,0.0,0.0,0.0,0.0,14.313,1.574,0.0,0.0,10.783,0.0,14.335,1.409,0.0,0.0,0.0,1.322
5,Democratic Republic of Congo,1.654,0.0,7.696,0.0,5.138,1.406,0.0,0.725,1.648,0.0,3.191,1.25,0.0,1.81,2.558,0.0,3.343,2.675,0.0,1.519,9.466,1.201,15.03,1.102,1.627,0.0,3.998,0.0,5.112,2.044,0.0,4.695,3.269,0.0,8.325,5.883,0.0,2.401,1.869,0.0,4.32,2.863,0.0,2.417,1.214,0.0,3.685,6.532,0.0,1.985,0.0,0.0,4.56,4.78,1.811,2.046,0.0,4.055,3.698,2.762
6,Iran,0.0,0.0,3.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.136,1.074,0.0,0.25,2.128,0.0,2.886,0.0,0.0,0.0,0.0,4.504,2.931,0.0,7.708,0.0,0.0,0.0,0.0,0.454,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.639,18.523,0.0,0.113,0.0,0.0,0.0,0.0,0.0
7,Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.216,0.0,3.326,1.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.611,2.479,0.0,4.308,4.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.437,0.0,0.0,0.0,0.0,0.11,2.032,0.0,0.0,0.0,2.839
8,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Saudi Arabia,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.235,0.177,0.649,0.2,0.047,0.0,14.316,0.361,0.44,0.207,0.066,0.208,1.008,0.166,0.803,0.042,0.252,0.0,0.0,0.126,0.0,0.0,0.132,2.982,0.0,4.151,0.0,0.0,0.084,0.0,0.0,0.046,0.0,0.315,0.029,0.0,0.0,0.111,0.0,0.0,0.055,8.924,0.598,14.276,23.57,0.182,14.301,0.0,0.0,0.349,16.86,0.0
